customer_phone,apply_date_key,order_status_key,als_m12_id_nbank_orgnum,als_m3_id_nbank_min_inteday,als_m12_id_nbank_min_inteday,als_m12_id_nbank_week_orgnum,als_m12_id_min_inteday,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,als_m12_id_rel_orgnum,als_m12_id_cooff_orgnum,als_m12_id_bank_ret_orgnum,als_lst_id_nbank_consnum,als_m6_id_bank_min_inteday,als_d7_id_nbank_week_orgnum,als_m12_id_nbank_finlea_allnum,als_m12_id_bank_min_inteday,als_m12_id_af_orgnum,in_black_list,debt_pressure_index,model_risk_v7_stongyong_score,v6_seq_online,omriskscoregeneral,actual_age,gender,city_name,degree,card_num
2de7864918d30b283bf51933801f666b,2023-03-16,3,,,,,,,,,,,,,,,,,,,40.0,48.0,733.0,56.0,female,安庆市,高中及以下,无信用卡
054d8d657a3da876cb25f1383695b871,2023-03-16,3,7.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,2.0,0.0,0.0,2.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,31.0,50.0,29.0,603.0,30.0,male,u,大学专科,4张及以上
34dab4c25100ef62b67c21102041bce3,2023-03-15,3,2.0,14.0,14.0,0.0,12.0,0.0,-9999.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,306.0,0.0,,41.0,62.0,39.0,521.0,27.0,male,u,大学专科,无信用卡
ec897b1597289d94531c96d6664d9bd5,2023-03-14,3,1.0,8.0,8.0,0.0,8.0,0.0,-9999.0,1.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,27.0,57.0,38.0,633.0,34.0,male,天水市,大学专科,2张
db9afefed8aaaf89487fb57940f76217,2023-03-13,3,2.0,-9999.0,34.0,0.0,34.0,0.0,-9999.0,1.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,27.0,51.0,38.0,624.0,18.0,male,南阳市,,
31e568aced48d1814700db472d442010,2023-02-03,3,,,,,,,,,,,,,,,,,,24.0,49.0,40.0,679.0,34.0,male,u,大学本科,2张
ddd3dadb4359d9d0c7965a4ab235c792,2023-03-09,3,9.0,20.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,-9999.0,-9999.0,1.0,-9999.0,0.0,,28.0,67.0,25.0,555.0,41.0,male,西安市,高中及以下,3张
b8919732b6376a6ad3617b7994be138a,2023-03-09,2,,,,,,,,,,,,,,,,,,22.0,47.0,42.0,678.0,43.0,male,u,大学本科,1张
8fca619283c5dfeb9c8b5ede82520c91,2023-03-09,3,,,,,,,,,,,,,,,,,,18.0,42.0,46.0,674.0,30.0,male,西安市,大学专科,无信用卡
1698c18e4036ce083f60721c470c710c,2023-03-08,3,15.0,0.0,0.0,9.0,0.0,3.0,2.0,5.0,0.0,0.0,4.0,103.0,2.0,1.0,11.0,0.0,,40.0,73.0,38.0,663.0,30.0,male,咸阳市,大学专科,1张
